proposed_id	label	definition	definition_source	type	domain	range	xrefs	subset	priority	traits_addressed	observations
ID	LABEL	A IAO:0000115	>A IAO:0000119	TYPE	DOMAIN	RANGE	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:2007100	has source taxon	A relation between a microbial community ecological interaction and the NCBITaxon that is the source (initiator) of the interaction. For pairwise scope this slot is required; for community-level scope it may be omitted because no single organism is the source.	CommunityMech:communitymech.yaml#EcologicalInteraction.source_taxon	owl:ObjectProperty	METPO:1007101	NCBITaxon:1		metpo_communitymech_2026_05	HIGH	source taxon of community interaction	directional, 0..1 cardinality
METPO:2007101	has target taxon	A relation between a microbial community ecological interaction and the NCBITaxon that is the target (recipient) of the interaction. Used when the interaction is directional (e.g., one organism preys on another, facilitates colonization of another).	CommunityMech:communitymech.yaml#EcologicalInteraction.target_taxon	owl:ObjectProperty	METPO:1007101	NCBITaxon:1		metpo_communitymech_2026_05	HIGH	target taxon of community interaction	directional, 0..1 cardinality
METPO:2007102	has interaction type	A relation between a microbial community ecological interaction and the interaction-type class describing its valence and mechanism (mutualism, competition, syntrophy, etc.).	CommunityMech:communitymech.yaml#EcologicalInteraction.interaction_type	owl:ObjectProperty	METPO:1007101	METPO:1007120		metpo_communitymech_2026_05	HIGH	interaction valence/mechanism	required, 1..1 cardinality
METPO:2007103	has interaction scope	A relation between a microbial community ecological interaction and its scope class, distinguishing pairwise organism-level edges from community-wide emergent phenomena.	CommunityMech:communitymech.yaml#EcologicalInteraction.scope	owl:ObjectProperty	METPO:1007101	METPO:1007140		metpo_communitymech_2026_05	HIGH	interaction scope	required, 1..1 cardinality
METPO:2007104	has exchanged metabolite	A relation between a microbial community ecological interaction and a CHEBI metabolite that is produced, consumed, transferred, or competed for during the interaction.	CommunityMech:communitymech.yaml#EcologicalInteraction.metabolites	owl:ObjectProperty	METPO:1007101	CHEBI:24431		metpo_communitymech_2026_05	HIGH	metabolite exchange or competition	0..* cardinality
METPO:2007105	participates in biological process	A relation between a microbial community ecological interaction and a GO biological process term that captures the molecular or cellular function underlying the interaction (e.g., methanogenesis, nitrogen fixation, cellulose catabolic process).	CommunityMech:communitymech.yaml#EcologicalInteraction.biological_processes	owl:ObjectProperty	METPO:1007101	GO:0008150		metpo_communitymech_2026_05	HIGH	biological process underlying interaction	0..* cardinality
METPO:2007106	has supporting evidence	A relation between a microbial community ecological interaction and a microbial community evidence item that substantiates it, anchoring the interaction to a citable reference and snippet.	CommunityMech:communitymech.yaml#EcologicalInteraction.evidence	owl:ObjectProperty	METPO:1007101	METPO:1007102		metpo_communitymech_2026_05	HIGH	evidence linkage	0..* cardinality
METPO:2007107	has functional role	A relation between a microbial community member (microbe-level taxon) and a community functional role class describing its trophic and metabolic position in the community.	CommunityMech:communitymech.yaml#TaxonomicComposition.functional_role	owl:ObjectProperty	METPO:1000525	METPO:1007103		metpo_communitymech_2026_05	HIGH	functional role assignment to community member	0..* cardinality
METPO:2007108	has abundance level	A relation between a microbial community member (microbe-level taxon) and an abundance-level class describing its relative abundance in the community.	CommunityMech:communitymech.yaml#TaxonomicComposition.abundance_level	owl:ObjectProperty	METPO:1000525	METPO:1007170		metpo_communitymech_2026_05	HIGH	relative abundance assignment to community member	0..1 cardinality
METPO:2007109	has community category	A relation between a microbial community and a community functional category class that groups it by dominant process or environment (biomining, methanogenesis, rhizosphere, etc.).	CommunityMech:communitymech.yaml#MicrobialCommunity.community_category	owl:ObjectProperty	METPO:1007100	METPO:1007200		metpo_communitymech_2026_05	HIGH	community category assignment	0..1 cardinality
METPO:2007110	has community origin	A relation between a microbial community and a community-origin class indicating how the community was assembled (natural, engineered enrichment, or fully synthetic).	CommunityMech:communitymech.yaml#MicrobialCommunity.community_origin	owl:ObjectProperty	METPO:1007100	METPO:1007190		metpo_communitymech_2026_05	HIGH	community origin/assembly mode	0..1 cardinality
METPO:2007111	has ecological state	A relation between a microbial community and an ecological-state class describing whether the community is stable, perturbed, engineered, or transient/developing.	CommunityMech:communitymech.yaml#MicrobialCommunity.ecological_state	owl:ObjectProperty	METPO:1007100	METPO:1007180		metpo_communitymech_2026_05	HIGH	community ecological state	0..1 cardinality
METPO:2007112	has evidence support level	A relation between a microbial community evidence item and an evidence-support-level class indicating how the cited reference relates to the claim (direct support, partial support, no evidence, misattribution, or active refutation).	CommunityMech:communitymech.yaml#EvidenceItem.supports	owl:ObjectProperty	METPO:1007102	METPO:1007150		metpo_communitymech_2026_05	HIGH	support level of cited reference	required, 1..1 cardinality
METPO:2007113	has evidence source type	A relation between a microbial community evidence item and an evidence-source class indicating the provenance category of the evidence (in vitro, in vivo, computational, review, other).	CommunityMech:communitymech.yaml#EvidenceItem.evidence_source	owl:ObjectProperty	METPO:1007102	METPO:1007160		metpo_communitymech_2026_05	HIGH	provenance of evidence	required, 1..1 cardinality
METPO:2007200	has atmosphere requirement	A relation between a community-relevant growth medium and the atmosphere-requirement class describing its O2 / CO2 needs.	CommunityMech:communitymech.yaml#GrowthMedia.atmosphere	owl:ObjectProperty	METPO:1007300	METPO:1007301		metpo_communitymech_2026_05	HIGH	atmosphere assignment to growth medium	0..1 cardinality
METPO:2007201	has growth media relationship	A relation between a community-relevant growth medium and a growth-media-relationship-type class describing how the medium relates to the community (actual cultivation, isolation, environmental analog, etc.).	CommunityMech:communitymech.yaml#RelatedMedia.relationship_type	owl:ObjectProperty	METPO:1007300	METPO:1007310		metpo_communitymech_2026_05	HIGH	media-to-community relationship category	0..1 cardinality
METPO:2008000	has metal element present	A relation between a microbial community and a CHEBI chemical entity that represents a metal element (atom or cation) present in or processed by the community.	CommunityMech:communitymech.yaml#MicrobialCommunity.metals_present	owl:ObjectProperty	METPO:1007100	CHEBI:24431		metpo_communitymech_2026_05	HIGH	metal-element membership of community	0..* cardinality. Range is the broad CHEBI:24431 (chemical entity) because the schema-side MetalElementEnum mixes atom-form (e.g., CHEBI:27214 uranium atom, CHEBI:29287 gold atom) and cation-form (e.g., CHEBI:29033 iron(2+) cation) values; a narrower CHEBI parent would reject some valid existing data.
METPO:2008001	has rare earth element present	A relation between a microbial community and a CHEBI chemical entity that represents a rare-earth element (atom or cation) present in or processed by the community.	CommunityMech:communitymech.yaml#MicrobialCommunity.rare_earth_elements_present	owl:ObjectProperty	METPO:1007100	CHEBI:24431		metpo_communitymech_2026_05	HIGH	rare-earth-element membership of community	0..* cardinality. Range is the broad CHEBI:24431 (chemical entity) for consistency with the metal-element predicate; the per-REE leaves in RareEarthElementEnum are all CHEBI cation-form entities (e.g., CHEBI:32359 lanthanum(3+) cation).
METPO:2008002	has metal relevance	A relation between a microbial community and a metal-relevance-level class indicating how central metal or rare-earth-element cycling is to the community (primary defining function vs significant participant vs incidental vs not applicable).	CommunityMech:communitymech.yaml#MicrobialCommunity.metal_relevance	owl:ObjectProperty	METPO:1007100	METPO:1008003		metpo_communitymech_2026_05	HIGH	metal-relevance assignment	0..1 cardinality
